,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
12844,864691135279318689,864691135992695745,20964,10981,1765,-0.2511697634862036,L2/3,L5,532.329483534399
12845,864691136209328060,864691136724481533,11232,5517,3737,0.49000515040732734,L2/3,L5,218.58736827181946
12851,864691136209328060,864691135755652562,3520,5517,2629,-0.17057032393591007,L2/3,L5,441.87986675113393
12864,864691136209328060,864691135065912388,22088,5517,6011,0.38853192653001123,L2/3,L5,334.31031304463215
12865,864691135658054274,864691135065912388,19008,7266,6011,-0.2822146800730365,L2/3,L5,587.3495848708841
12866,864691136209328060,864691136329894890,1544,5517,3696,-0.08255064606936086,L2/3,L5,246.9065651294027
12867,864691136209328060,864691136040250110,53112,5517,9562,0.05956230212606212,L2/3,L5,569.3309131252229
12869,864691135497743635,864691136040250110,15024,3625,9562,0.10804262885628393,L2/3,L5,241.463646953325
12870,864691135975539779,864691136040250110,59072,7986,9562,0.2371818580022456,L2/3,L5,298.08110541931364
12871,864691136066631832,864691136040250110,25692,4275,9562,0.25435006708534325,L2/3,L5,233.0330440431141
12873,864691136209328060,864691135915664486,25108,5517,9433,0.10470599700440399,L2/3,L5,670.045337451131
12874,864691135491205735,864691135915664486,936,4507,9433,0.02346004714980548,L2/3,L5,247.85283388333485
12875,864691136209328060,864691135785845188,46600,5517,7061,0.02686138494858823,L2/3,L5,479.8421778543441
12876,864691135855890478,864691135785845188,27996,1175,7061,-0.08269712620084985,L2/3,L5,709.1051162697953
12878,864691135564752407,864691135785845188,1236,7304,7061,0.14654767307388458,L2/3,L5,400.1969122519561
12935,864691136209328060,864691136273899454,8924,5517,4728,0.3478727983782713,L2/3,L5,351.0347639536574
12937,864691136209328060,864691136052084211,2240,5517,7704,0.03388637272771737,L2/3,L5,656.8717306993808
12938,864691135517531786,864691136052084211,1204,8175,7704,0.230491969344229,L2/3,L5,180.58658997832595
12940,864691136084684396,864691136052084211,3796,437,7704,0.4908863099387753,L2/3,L5,205.80471551448963
12943,864691136209328060,864691136040349438,9176,5517,7790,0.2405108180201998,L2/3,L5,637.1297651185353
12944,864691135517531786,864691136040349438,7244,8175,7790,0.19941415821053093,L2/3,L5,234.82250209040865
12945,864691136309871706,864691136040349438,2004,2232,7790,0.12819063538504125,L2/3,L5,327.59815227806155
12951,864691136209328060,864691135463881534,8528,5517,3771,0.10957561571065494,L2/3,L5,399.5039337578542
12954,864691136209328060,864691135162983725,3912,5517,7739,-0.06898590234661885,L2/3,L5,438.9659670088331
12955,864691135501703746,864691135162983725,6112,7957,7739,-0.08741903309468398,L2/3,L5,375.21514621880607
12958,864691136209328060,864691135013322486,32944,5517,9441,0.24811440244886904,L2/3,L5,469.270453431707
12962,864691136209328060,864691135274756069,11064,5517,1615,0.24623277275161579,L2/3,L5,353.6000724886804
